id,code_prefix_start,name
account.data_account_group_111,111,Capital social ou personnel
account.data_account_group_112,112,Primes d'émission, de fusion et d'apport
account.data_account_group_113,113,Ecarts de réévaluation
account.data_account_group_114,114,Réserve légale
account.data_account_group_115,115,Autres réserves
account.data_account_group_116,116,Report à nouveau
account.data_account_group_118,118,Résultats nets en instance d'affectation
account.data_account_group_119,119,Résultat net de l'exercice
account.data_account_group_131,131,Subventions d'investissement
account.data_account_group_135,135,Provisions réglementées
account.data_account_group_141,141,Emprunts obligataires
account.data_account_group_148,148,Autres dettes de financement
account.data_account_group_151,151,Provisions pour risques
account.data_account_group_155,155,Provisions pour charges
account.data_account_group_160,160,Comptes de liaisons des atablissments et succursales
account.data_account_group_171,171,Augmentation des créances immobilisées
account.data_account_group_172,172,Diminution des dettes de financement
account.data_account_group_211,211,Frais préliminaires
account.data_account_group_212,212,Charges à répartir sur plusieurs exercices
account.data_account_group_213,213,Primes de remboursement des obligations
account.data_account_group_221,221,Immobilisation en recherche et développement
account.data_account_group_222,222,Brevets, marques, droits et valeurs similaires
account.data_account_group_223,223,Fonds commercial
account.data_account_group_228,228,Autres immobilisations incorporelles
account.data_account_group_231,231,Terrains
account.data_account_group_232,232,Constructions
account.data_account_group_233,233,"Installations techniques, matériel et outillage"
account.data_account_group_234,234,Matériel de transport
account.data_account_group_235,235,Mobilier, matériel de bureau et aménagements divers
account.data_account_group_238,238,Autres immobilisations corporelles
account.data_account_group_239,239,Immobilisations corporelles en cours
account.data_account_group_241,241,Prêts immobilsés
account.data_account_group_248,248,Autres créances financières
account.data_account_group_251,251,Titres de participation
account.data_account_group_258,258,Autres titres immobilisés
account.data_account_group_271,271,Diminution des créances immobilisées
account.data_account_group_272,272,Augmentation des dettes de financement
account.data_account_group_281,281,Amortissements des non-valeurs
account.data_account_group_282,282,Amortissements des immobilisations incorporelles
account.data_account_group_283,283,Amortissements des immobilisations corporelles
account.data_account_group_292,292,Provisions pour dépréciation des immobilisations incorporelles
account.data_account_group_293,293,Provisions pour dépréciation des immobilisations corporelles
account.data_account_group_294,294,Provisions pour dépréciation des immobilisations financières
account.data_account_group_295,295,Provisions pour dépréciation des immobilisations financières
account.data_account_group_311,311,Marchandises
